validto (UTC),capacity (kW) aardgas,percentage aardgas,capacity (kW) afval,percentage afval,capacity (kW) biomassa,percentage biomassa,capacity (kW) electriciteitsmix,percentage electriciteitsmix,capacity (kW) kernenergie,percentage kernenergie,capacity (kW) overig,percentage overig,capacity (kW) steenkool,percentage steenkool,capacity (kW) wind,percentage wind,capacity (kW) wkk,percentage wkk,capacity (kW) zeewind,percentage zeewind,capacity (kW) zon,percentage zon
2024-10-11 06:00:00,5316250,0,283626,0.36362174153328,407939,0.4079387485981,11949108,0.32720351219177,479250,0.98814451694489,221000,1,1333811,2.6676225662231,362846,0.056067150086164,2332886,0,1211500,0.29136601090431,0,0.0
2024-10-11 07:00:00,5369250,0,280626,0.35977551341057,418185,0.4181857407093,12310079,0.33708426356316,479000,0.98762899637222,221000,1,1367315,2.7346274852753,278114,0.042974073439837,2356473,0,1196499,0.28775826096535,343617,0.015002680011094
2024-10-11 08:00:00,4832000,0,286500,0.36730799078941,394530,0.39453023672104,14051084,0.38475325703621,479250,0.98814451694489,221000,1,1289970,2.5799374580383,368690,0.056969426572323,2184054,0,1165501,0.28030323982239,2829589,0.1235409528017
2024-10-11 09:00:00,2508750,0,287876,0.36907050013542,323858,0.32385650277138,14855696,0.4067807495594,479000,0.98762899637222,221000,1,1058892,2.1177899837494,716954,0.11078202724457,1725186,0,1007000,0.24218399822712,6527180,0.28497526049614
2024-10-11 10:00:00,1384750,0,282626,0.36233976483345,252130,0.25212925672531,16684023,0.45683926343918,479000,0.98762899637222,221000,1,824370,1.6487400531769,1139599,0.1760867536068,1444986,0,893750,0.21494725346565,9761812,0.42619150876999
2024-10-11 11:00:00,1418000,0,277750,0.35608950257301,169101,0.16910099983215,18819572,0.5153089761734,479000,0.98762899637222,221000,1,552899,1.1057950258255,1817827,0.28088274598122,1393323,0,893749,0.21494700014591,11596923,0.50630277395248
2024-10-11 12:00:00,1969250,0,280126,0.35913449525833,179874,0.1798750013113,18355301,0.50259077548981,479000,0.98762899637222,221000,1,588126,1.1762499809265,2041722,0.31547600030899,1477421,0,869749,0.20917475223541,10249033,0.44744899868965
2024-10-11 13:00:00,1924000,0,281250,0.36057651042938,187077,0.18707700073719,17225766,0.47165751457214,479000,0.98762899637222,221000,1,611673,1.2233425378799,1940017,0.29975923895836,1488270,0,863501,0.20767199993134,9229978,0.40295276045799
2024-10-11 14:00:00,1991000,0,278126,0.35657051205635,223907,0.22390675544739,15625060,0.42782375216484,479000,0.98762899637222,221000,1,732093,1.4641849994659,1913557,0.29566898941994,1474699,0,702749,0.16901125013828,7608929,0.33217725157738
2024-10-11 15:00:00,2736500,0,276876,0.35496801137924,313141,0.31314125657082,14839855,0.40632000565529,479250,0.98814451694489,221000,1,1023859,2.0477175712585,1595945,0.24659225344658,1628008,0,708749,0.17045399546623,5856527,0.25567001104355
